99,"GREENBAUM, Maxwell",B17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,21 ,26 ,-5 ,Advanced
100T,"HU, William",B17 / 80 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,20 ,25 ,-5 ,Advanced
100T,"MOON, Sean",B17 ,ZETA FENCING ,New England ,USA ,3 ,0.50 ,20 ,25 ,-5 ,Advanced
102,"QUIST, Cole",C16 ,COBRA ,New Jersey ,USA ,3 ,0.50 ,16 ,26 ,-10 ,Advanced
103,"OSOLINIEC, Victor",B17 ,COBRA ,New Jersey ,USA ,2 ,0.40 ,20 ,19 ,+1 ,Advanced
104,"LORTKIPANIDZE, Nickoloz",B17 / 113 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,2 ,0.40 ,17 ,19 ,-2 ,Advanced
105,"LU, Berwyn",B17 ,ARSENAL ,Georgia ,USA ,2 ,0.40 ,15 ,18 ,-3 ,Advanced
106,"ROTENSTEIN, Leon",B16 ,BRANDEIS / ZETA FENCING ,New England ,USA ,2 ,0.40 ,19 ,23 ,-4 ,Advanced
107,"WALKER, Dalton",B17 ,UNAT / COBRA ,New Jersey ,USA ,2 ,0.40 ,14 ,20 ,-6 ,Advanced
108,"BAK, Mikolaj",A17 / 34 ,MANHATTAN / NYU ,New Jersey ,USA ,2 ,0.40 ,12 ,18 ,-6 ,Advanced
109,"JONES, Alexander",B17 / 116 ,AGFC ,Southern CA ,USA ,2 ,0.40 ,14 ,21 ,-7 ,Advanced
110,"SUN, Andrew",A17 / 25 ,PENN ,Georgia ,USA ,2 ,0.33 ,25 ,24 ,+1 ,Advanced
111,"WISNIOWSKI, Michal",B16 ,AFFA ,New Jersey ,USA ,2 ,0.33 ,22 ,22 ,0 ,Advanced
112,"HAST, Kern",B16 ,MANHATTAN ,Metro NYC ,USA ,2 ,0.33 ,23 ,24 ,-1 ,Advanced
113,"SZETO, Brian",B16 ,ZETA FENCING ,New England ,USA ,2 ,0.33 ,23 ,25 ,-2 ,Advanced
