104,"LEE, Timothy Seungjoon",B17 ,PENTA ,Virginia ,USA ,1 ,0.17 ,17 ,28 ,-11 ,
105T,"CULPEPPER, John",A17 ,,Columbus OH ,USA ,1 ,0.17 ,16 ,27 ,-11 ,
105T,"TAFOYA, Devin",A17 / 51 ,DFC / NORCOLO ,Colorado ,USA ,1 ,0.17 ,16 ,27 ,-11 ,
105T,"TEPEDELENLIOGLU, Mehmet",A17 / 37 ,EBFG ,Northern CA ,USA ,1 ,0.17 ,16 ,27 ,-11 ,
108,"BOGERT, Alexander BRYCE",A17 ,,Gateway FL ,USA ,1 ,0.17 ,14 ,25 ,-11 ,
109,"MA, Ark",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,1 ,0.17 ,17 ,29 ,-12 ,
110,"NGUYEN, Ethan",B17 ,BB-FC ,Nevada ,USA ,1 ,0.17 ,16 ,28 ,-12 ,
111,"RUSSELL, Ben",A17 ,LIGONIER ,Central PA ,USA ,1 ,0.17 ,12 ,27 ,-15 ,
112T,"MASON, Alexander",A17 ,FAO ,Columbus OH ,USA ,1 ,0.17 ,13 ,29 ,-16 ,
112T,"FRENCH, Dylan",A17 / 60 ,,,CAN ,1 ,0.17 ,13 ,29 ,-16 ,
114,"ZELLER, Zachary",A16 / 29 ,NOTREDAME ,Nevada ,USA ,0 ,0.00 ,21 ,30 ,-9 ,
115,"MACHULSKY, Ned",B16 ,AFM ,Central CA ,USA ,0 ,0.00 ,18 ,30 ,-12 ,
116,"SHEPARD, Trevor",B16 ,SWORDS ,Southern CA ,USA ,0 ,0.00 ,17 ,30 ,-13 ,
117,"NORTH, Gary",A17 ,HCMA ,Southwest OH ,USA ,0 ,0.00 ,11 ,25 ,-14 ,
118,"LI, Jason Man Kit",B17 ,,,CAN ,0 ,0.00 ,13 ,30 ,-17 ,
119,"WOLF, Myles",B16 ,FENCERS ,Metro NYC ,USA ,0 ,0.00 ,7 ,25 ,-18 ,
120,"CULLEN, Daniel",B17 / 53 ,NOTREDAME / DYNAMOFC ,Northern OH ,USA ,0 ,0.00 ,11 ,30 ,-19 ,
121,"KIMATIAN, Stephen",B15 / 95 ,USAFA / HOF ,Colorado ,USA ,0 ,0.00 ,6 ,25 ,-19 ,
